sample,observed,chao1,se_chao1,ace,se_ace,shannon,simpson,inv_simpson,fisher,orchard,location,management,lat,long,acreage,Elevation,Date,Precip,MinT,MaxT,VPDmin,VPDmax,PropPear,PropFruit,PropFor
X10orgedge,23,23,0,23,2.395648229,3.009474306,0.944414922,17.99043977,5.859612198,10,edge,org,47.5071,-120.49856,27.5,1526,2017-04,2.31,37,57.6,1.15,10.2,7.2192682186,0.114591559,5.7295779513
X10orgint,25,25,0,25,2.481934729,2.851730272,0.922749604,12.94491746,5.975912828,10,interior,org,47.5071,-120.49856,27.5,1526,2017-04,2.31,37,57.6,1.15,10.2,7.2192682186,0.114591559,5.7295779513
X11convedge,18,18,0,18,2.121320344,2.699302464,0.923044141,12.99446219,4.4654714,11,edge,con,47.51059,-120.50062,4.82,1526,2017-04,2.31,37,57.6,1.15,10.2,66.1193295581,1.6042818264,0.3437746771
X11convint,20,20,0,20,1.596871942,2.450489847,0.882535254,8.513192571,3.506748247,11,interior,con,47.51059,-120.50062,4.82,1526,2017-04,2.31,37,57.6,1.15,10.2,66.1193295581,1.6042818264,0.3437746771
X15softedge,20,20,0,20,2.224859546,1.405443846,0.65419797,2.891828019,2.916811155,15,edge,soft,47.51368,-120.4309,5.09,1152,2017-04,2.18,37.9,59.3,1.27,11.28,14.7823111144,1.4896902673,0
X15softint,14,14,0,14,1.792842914,2.471426209,0.900735805,10.07412587,3.804555012,15,interior,soft,47.51368,-120.4309,5.09,1152,2017-04,2.18,37.9,59.3,1.27,11.28,14.7823111144,1.4896902673,0
X16convedge,7,7,0,7,1.195228609,0.841591793,0.38628247,1.629414105,1.230795734,16,edge,con,47.51305,-120.433,14.9,1152,2017-04,2.18,37.9,59.3,1.27,11.28,55.3477230096,6.4171273055,0
X16convint,13,13,0,13,1.754116039,2.193783652,0.856717687,6.979228487,3.288754244,16,interior,con,47.51305,-120.433,14.9,1152,2017-04,2.18,37.9,59.3,1.27,11.28,55.3477230096,6.4171273055,0
X17softedge,18,18,0,18,2.108185107,2.612631119,0.912385358,11.41361742,4.625115387,17,edge,soft,47.50885,-120.46646,6.28,1165,2017-04,2.21,37.3,59.2,1.12,11.1,45.4928489334,1.9480565034,0.5729577951
X17softint,16,16,0,16,2,1.292669749,0.494105099,1.976695155,2.998203125,17,interior,soft,47.50885,-120.46646,6.28,1165,2017-04,2.21,37.3,59.2,1.12,11.1,45.4928489334,1.9480565034,0.5729577951
X18softedge,22,22,0,22,2.306118344,2.492789043,0.85403792,6.851094453,4.763383008,18,edge,soft,47.50041,-120.47248,15.5,1165,2017-04,2.21,37.3,59.2,1.12,11.1,1.7188733854,0.3437746771,0.3437746771
X18softint,20,20,0,20,2.224859546,2.730587353,0.918732645,12.30506396,5.018327421,18,interior,soft,47.50041,-120.47248,15.5,1165,2017-04,2.21,37.3,59.2,1.12,11.1,1.7188733854,0.3437746771,0.3437746771
X19orgedge,3,3,0,3,0.816496581,1.078992208,0.653061224,2.882352941,0.785567969,19,edge,org,47.54962,-120.59423,4.6,1480,2017-04,2.54,36.3,57.5,1.17,10.31,5.7295779513,0,22.116170892
X19orgint,4,4,0,4,0.866025404,0.127362685,0.046829566,1.049130318,0.427587933,19,interior,org,47.54962,-120.59423,4.6,1480,2017-04,2.54,36.3,57.5,1.17,10.31,5.7295779513,0,22.116170892
X20convedge,10,10,0,10,1.549193338,2.221691715,0.884264077,8.64035964,2.842508834,20,edge,con,47.55185,-120.59628,5.42,1480,2017-04,2.54,36.3,57.5,1.17,10.31,17.303325413,0,24.7517767497
X20convint,15,15,0,15,1.825741858,2.587034087,0.916242568,11.93923907,4.201954517,20,interior,con,47.55185,-120.59628,5.42,1480,2017-04,2.54,36.3,57.5,1.17,10.31,17.303325413,0,24.7517767497
X21orgedge,11,11,0,11,1.477097892,0.121147344,0.038780041,1.040344606,1.211650007,21,edge,org,47.54987,-120.60308,3.65,1480,2017-04,2.54,36.3,57.5,1.17,10.31,15.8136351456,0,46.1803982875
X21orgint,10,10,0,10,1.449137675,0.169463472,0.055682083,1.0589654,1.126659049,21,interior,org,47.54987,-120.60308,3.65,1480,2017-04,2.54,36.3,57.5,1.17,10.31,15.8136351456,0,46.1803982875
X22softedge,16,16,0.242061459,16.298,1.963294992,2.500850321,0.898237919,9.8268431,3.92168748,22,edge,soft,47.47079,-120.43097,11.2,2041,2017-04,2.19,37.9,55.5,1.56,9.37,0,0,0.3437746771
X22softint,15,15,0,15,1.825741858,2.313210255,0.875352358,8.022614689,3.800233701,22,interior,soft,47.47079,-120.43097,11.2,2041,2017-04,2.19,37.9,55.5,1.56,9.37,0,0,0.3437746771
X23convedge,37,37,0,37,3.040270258,2.936287676,0.903073149,10.31705863,8.115370468,23,edge,con,47.47164,-120.42838,9.65,2041,2017-04,2.19,37.9,55.5,1.56,9.37,24.2934105135,2.6356058576,0.9167324722
X23convint,23,23,0,23,2.395648229,2.355406586,0.854641003,6.879519148,4.596814871,23,interior,con,47.47164,-120.42838,9.65,2041,2017-04,2.19,37.9,55.5,1.56,9.37,24.2934105135,2.6356058576,0.9167324722
X24softedge,7,7,0,7,1.195228609,1.817976288,0.820453672,5.569593148,2.196285239,24,edge,soft,47.50772,-120.49292,13.1,1526,2017-04,2.31,37,57.6,1.15,10.2,51.7953846798,2.1772396215,7.2192682186
X24softint,4,4,0,NA,NA,1.375607836,0.744946492,3.920745921,0.975055317,24,interior,soft,47.50772,-120.49292,13.1,1526,2017-04,2.31,37,57.6,1.15,10.2,51.7953846798,2.1772396215,7.2192682186
X25ogredge,6,6,0,6,1.154700538,1.202406282,0.619741853,2.629792443,0.979533506,25,edge,org,47.58913,-120.63501,3.18,1401,2017-04,2.51,35.8,57.7,1.14,10.42,25.3247345448,0,33.8045099127
X25orgint,19,19,0.243332132,19.41412354,2.082741888,1.707281146,0.754947581,4.080759554,2.504739149,25,interior,org,47.58913,-120.63501,3.18,1401,2017-04,2.51,35.8,57.7,1.14,10.42,25.3247345448,0,33.8045099127
X8orgedge,9,9,0,9,1.490711985,1.303680735,0.554632971,2.24533909,1.77175207,8,edge,org,47.49619,-120.46866,7.65,1165,2017-04,2.21,37.3,59.2,1.12,11.1,17.532508531,1.2605071493,3.5523383298
X8orgint,10,10,0,10,1.549193338,1.553918159,0.705423554,3.394704541,1.820988038,8,interior,org,47.49619,-120.46866,7.65,1165,2017-04,2.21,37.3,59.2,1.12,11.1,17.532508531,1.2605071493,3.5523383298
X9convEdge,22,22,0.244252105,22.28458831,2.34042363,2.895470558,0.93827588,16.20112214,5.634390573,9,edge,con,47.50171,-120.47091,15.5,1165,2017-04,2.21,37.3,59.2,1.12,11.1,58.2125119853,3.6669298888,2.0626480625
X9convInt,9,9,0,9,1.247219129,2.099197518,0.868979592,7.632398754,2.746799079,9,interior,con,47.50171,-120.47091,15.5,1165,2017-04,2.21,37.3,59.2,1.12,11.1,58.2125119853,3.6669298888,2.0626480625
